ID          Chr    Position
M1           1     0.00001
M2           1     0.06251
M3           1     0.09376
M4           1     0.12501
M5           1     0.15626
M6           1     0.18751
M7           1     0.21876
M8           1     0.25001
M9           1     0.28126
M10          1     0.31251
M11          1     0.34376
M12          1     0.37501
M13          1     0.40626
M14          1     0.43751
M15          1     0.46876
M16          1     0.50001
M17          1     0.53126
M18          1     0.56251
M19          1     0.59376
M20          1     0.62501
M21          1     0.65626
M22          1     0.68751
M23          1     0.71876
M24          1     0.75001
M25          1     0.78126
M26          1     0.81251
M27          1     0.87501
M28          1     0.90626
M29          1     0.93751
M30          1     0.96876
M31          1     1.00001
M32          1     1.03126
M33          1     1.06251
M34          1     1.09376
M35          1     1.12501
M36          1     1.15626
M37          1     1.18751
M38          1     1.21876
M39          1     1.25001
M40          1     1.28126
M41          1     1.31251
M42          1     1.34376
M43          1     1.37501
M44          1     1.40626
M45          1     1.43751
M46          1     1.46876
M47          1     1.50001
M48          1     1.59376
M49          1     1.62501
M50          1     1.65626
M51          1     1.68751
M52          1     1.71876
M53          1     1.75001
M54          1     1.78126
M55          1     1.81251
M56          1     1.84376
M57          1     1.87501
M58          1     1.90626
M59          1     1.93751
M60          1     1.96876
M61          1     2.00001
M62          1     2.03126
M63          1     2.06251
M64          1     2.09376
M65          1     2.12501
M66          1     2.15626
M67          1     2.18751
M68          1     2.21876
M69          1     2.28126
M70          1     2.31251
M71          1     2.34376
M72          1     2.37501
M73          1     2.40626
M74          1     2.43751
M75          1     2.46876
M76          1     2.50001
M77          1     2.53126
M78          1     2.56251
M79          1     2.59376
M80          1     2.62501
M81          1     2.65626
M82          1     2.68751
M83          1     2.71876
M84          1     2.78126
M85          1     2.81251
M86          1     2.84376
M87          1     2.87501
M88          1     2.90626
M89          1     2.93751
M90          1     2.96876
M91          1     3.00001
M92          1     3.03126
M93          1     3.06251
M94          1     3.09376
M95          1     3.12501
M96          1     3.15626
M97          1     3.18751
M98          1     3.21876
M99          1     3.25001
M100         1     3.28126
M101         1     3.31251
M102         1     3.34376
M103         1     3.37501
M104         1     3.40626
M105         1     3.43751
M106         1     3.46876
M107         1     3.50001
M108         1     3.53126
M109         1     3.56251
M110         1     3.59376
M111         1     3.62501
M112         1     3.65626
M113         1     3.68751
M114         1     3.71876
M115         1     3.75001
M116         1     3.78126
M117         1     3.81251
M118         1     3.84376
M119         1     3.87501
M120         1     3.90626
M121         1     3.93751
M122         1     3.96876
M123         1     4.00001
M124         1     4.03126
M125         1     4.06251
M126         1     4.09376
M127         1     4.12501
M128         1     4.15626
M129         1     4.18751
M130         1     4.21876
M131         1     4.25001
M132         1     4.28126
M133         1     4.31251
M134         1     4.34376
M135         1     4.37501
M136         1     4.40626
M137         1     4.43751
M138         1     4.46876
M139         1     4.53126
M140         1     4.56251
M141         1     4.59376
M142         1     4.62501
M143         1     4.65626
M144         1     4.68751
M145         1     4.71876
M146         1     4.78126
M147         1     4.81251
M148         1     4.84376
M149         1     4.87501
M150         1     4.90626
M151         1     4.93751
M152         1     4.96876
M153         1     5.00001
M154         1     5.06250
M155         1     5.09375
M156         1     5.15625
M157         1     5.18750
M158         1     5.21875
M159         1     5.25000
M160         1     5.28125
M161         1     5.31250
M162         1     5.34375
M163         1     5.37500
M164         1     5.40625
M165         1     5.43750
M166         1     5.46875
M167         1     5.50000
M168         1     5.53125
M169         1     5.56250
M170         1     5.59375
M171         1     5.62500
M172         1     5.65625
M173         1     5.68750
M174         1     5.71875
M175         1     5.75000
M176         1     5.78125
M177         1     5.81250
M178         1     5.84375
M179         1     5.87500
M180         1     5.90625
M181         1     5.93750
M182         1     6.00000
M183         1     6.06250
M184         1     6.09375
M185         1     6.12500
M186         1     6.15625
M187         1     6.21875
M188         1     6.25000
M189         1     6.28125
M190         1     6.31250
M191         1     6.34375
M192         1     6.37500
M193         1     6.40625
M194         1     6.43750
M195         1     6.46875
M196         1     6.50000
M197         1     6.53125
M198         1     6.56250
M199         1     6.59375
M200         1     6.62500
M201         1     6.65625
M202         1     6.68750
M203         1     6.71875
M204         1     6.75000
M205         1     6.78125
M206         1     6.81250
M207         1     6.84375
M208         1     6.87500
M209         1     6.90625
M210         1     6.93750
M211         1     6.96875
M212         1     7.00000
M213         1     7.03125
M214         1     7.06250
M215         1     7.09375
M216         1     7.12500
M217         1     7.15625
M218         1     7.18750
M219         1     7.21875
M220         1     7.25000
M221         1     7.28125
M222         1     7.31250
M223         1     7.34375
M224         1     7.37500
M225         1     7.40625
M226         1     7.43750
M227         1     7.46875
M228         1     7.50000
M229         1     7.53125
M230         1     7.56250
M231         1     7.59375
M232         1     7.62500
M233         1     7.65625
M234         1     7.68750
M235         1     7.71875
M236         1     7.75000
M237         1     7.78125
M238         1     7.81250
M239         1     7.84375
M240         1     7.87500
M241         1     7.90625
M242         1     7.93750
M243         1     7.96875
M244         1     8.00000
M245         1     8.03125
M246         1     8.06250
M247         1     8.09375
M248         1     8.12500
M249         1     8.15625
M250         1     8.18750
M251         1     8.21875
M252         1     8.28125
M253         1     8.31250
M254         1     8.34375
M255         1     8.37500
M256         1     8.40625
M257         1     8.43750
M258         1     8.46875
M259         1     8.50000
M260         1     8.53125
M261         1     8.56250
M262         1     8.59375
M263         1     8.62500
M264         1     8.65625
